antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'aset_high', 'jumlah_pelanggan_high', 'laba_high'})",frozenset({'omset_high'}),0.11456797404895311,0.5,0.11456797404895311,1.0,2.0,0.057283987024476554,inf,0.5646960865945047
"frozenset({'tenaga_kerja_laki_laki_high', 'aset_high', 'laba_high'})",frozenset({'omset_high'}),0.10940725449719847,0.5,0.10940725449719847,1.0,2.0,0.054703627248599236,inf,0.5614238410596026
"frozenset({'tenaga_kerja_perempuan_high', 'aset_high', 'laba_high'})",frozenset({'omset_high'}),0.11080802123267473,0.5,0.11080802123267473,1.0,2.0,0.05540401061633737,inf,0.5623082663129093
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'aset_high'})",frozenset({'biaya_karyawan_high'}),0.11877027425538189,0.5,0.11825420230020643,0.9956548727498449,1.9913097454996898,0.058869065172515486,115.07142857143016,0.5649128037431729
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high'})",frozenset({'biaya_karyawan_high'}),0.23805662046593926,0.5,0.23695075199056326,0.9953545989470424,1.9907091978940847,0.11792244175759363,107.63333333333195,0.653154122219884
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'jumlah_pelanggan_high'})",frozenset({'biaya_karyawan_high'}),0.11759068121498083,0.5,0.1170008846947803,0.9949843260188088,1.9899686520376176,0.05820554408728989,99.68750000000081,0.5637741017898422
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'tahun_berdiri_high'})",frozenset({'biaya_karyawan_high'}),0.1174432320849307,0.5,0.1167797109997051,0.9943502824858758,1.9887005649717515,0.05805809495723976,88.50000000000081,0.5633168414577654
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.12039221468593335,0.5,0.1194337953406075,0.9920391916717698,1.9840783833435396,0.05923768799764082,62.807692307692655,0.5638736521004004
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'omset_high'})",frozenset({'biaya_karyawan_high'}),0.12017104099085815,0.5,0.11921262164553229,0.9920245398773005,1.984049079754601,0.05912710115010321,62.69230769230718,0.563723443275264
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'omset_high', 'laba_high'})",frozenset({'biaya_karyawan_high'}),0.11501032143910352,0.5,0.11405190209377765,0.9916666666666666,1.9833333333333332,0.05654674137422589,59.99999999999942,0.5602306234056434
"frozenset({'tenaga_kerja_perempuan_high', 'laba_high', 'tahun_berdiri_high'})",frozenset({'omset_high'}),0.12053966381598348,0.5,0.11582129165437924,0.9608562691131499,1.9217125382262998,0.0555514597463875,12.773437500000023,0.5453694597341506
"frozenset({'biaya_karyawan_high', 'omset_high', 'tahun_berdiri_high'})",frozenset({'laba_high'}),0.12053966381598348,0.5,0.11545266882925391,0.9577981651376147,1.9155963302752295,0.05518283692126217,11.847826086956537,0.5434802787501659
"frozenset({'tenaga_kerja_perempuan_high', 'biaya_karyawan_high', 'omset_high'})",frozenset({'laba_high'}),0.18379534060749042,0.5,0.17598053671483338,0.9574809466506217,1.9149618933012433,0.08408286641108817,11.759433962264131,0.5853879803955706
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'omset_high'})",frozenset({'laba_high'}),0.12017104099085815,0.5,0.11501032143910352,0.9570552147239264,1.9141104294478528,0.05492480094367444,11.64285714285715,0.5427919798206375
"frozenset({'tenaga_kerja_perempuan_high', 'biaya_karyawan_high', 'tenaga_kerja_laki_laki_high', 'omset_high'})",frozenset({'laba_high'}),0.11921262164553229,0.5,0.11405190209377765,0.9567099567099567,1.9134199134199135,0.054445591271011506,11.550000000000006,0.5419872915330796
"frozenset({'biaya_karyawan_high', 'omset_high'})",frozenset({'laba_high'}),0.24793571217929813,0.5,0.2370244765555883,0.9559916741005055,1.911983348201011,0.11305662046593924,11.361486486486474,0.6342315416580846
"frozenset({'tenaga_kerja_laki_laki_high', 'laba_high', 'tahun_berdiri_high'})",frozenset({'omset_high'}),0.11869654969035683,0.5,0.11346210557357711,0.9559006211180123,1.9118012422360247,0.0541138307283987,11.338028169014061,0.5411678273320416
"frozenset({'tenaga_kerja_perempuan_high', 'omset_high', 'tahun_berdiri_high'})",frozenset({'laba_high'}),0.12120318490120909,0.5,0.11582129165437924,0.9555961070559611,1.9111922141119222,0.055219699203774696,11.260273972602747,0.5425217554757155
"frozenset({'biaya_karyawan_high', 'laba_high', 'tahun_berdiri_high'})",frozenset({'omset_high'}),0.12083456207608376,0.5,0.11545266882925391,0.9554606467358145,1.910921293471629,0.05503538779121203,11.22602739726028,0.5422099059950575
"frozenset({'tenaga_kerja_perempuan_high', 'tenaga_kerja_laki_laki_high', 'laba_high'})",frozenset({'omset_high'}),0.12039221468593335,0.5,0.11501032143910352,0.9552969993876302,1.9105939987752605,0.05481421409613684,11.184931506849344,0.5418353180359718
"frozenset({'tenaga_kerja_perempuan_high', 'omset_high'})",frozenset({'laba_high'}),0.2491153052196992,0.5,0.23790917133588912,0.9550162770050311,1.9100325540100622,0.11335151872603952,11.115131578947377,0.6345164807430677
"frozenset({'tenaga_kerja_perempuan_high', 'laba_high'})",frozenset({'omset_high'}),0.2491153052196992,0.5,0.23790917133588912,0.9550162770050311,1.9100325540100622,0.11335151872603952,11.115131578947377,0.6345164807430677
"frozenset({'biaya_karyawan_high', 'tenaga_kerja_laki_laki_high', 'omset_high'})",frozenset({'laba_high'}),0.18335299321734003,0.5,0.1750958419345326,0.9549658222758344,1.9099316445516688,0.08341934532586258,11.10267857142858,0.5833867615685417
"frozenset({'tenaga_kerja_perempuan_high', 'biaya_karyawan_high', 'tenaga_kerja_laki_laki_high', 'laba_high'})",frozenset({'omset_high'}),0.1194337953406075,0.5,0.11405190209377765,0.9549382716049383,1.9098765432098765,0.0543350044234739,11.095890410958903,0.5410222927854227
"frozenset({'biaya_karyawan_high', 'tenaga_kerja_laki_laki_high', 'laba_high'})",frozenset({'omset_high'}),0.18342671778236508,0.5,0.1750958419345326,0.9545819935691319,1.9091639871382637,0.08338248304335005,11.008849557522133,0.5831816160118607
"frozenset({'laba_high', 'tahun_berdiri_high'})",frozenset({'omset_high'}),0.2382040695959894,0.5,0.22736655853730464,0.9545032497678737,1.9090064995357474,0.10826452373930995,10.989795918367342,0.6250588854190477
"frozenset({'biaya_karyawan_high', 'jumlah_pelanggan_high', 'laba_high'})",frozenset({'omset_high'}),0.12393099380713654,0.5,0.11825420230020643,0.9541939321832242,1.9083878643664485,0.05628870539663816,10.915584415584407,0.5433333480235286
"frozenset({'tenaga_kerja_perempuan_high', 'biaya_karyawan_high', 'laba_high'})",frozenset({'omset_high'}),0.18445886169271603,0.5,0.17598053671483338,0.9540367705835331,1.9080735411670662,0.08375110586847537,10.878260869565198,0.5835526415949952
"frozenset({'biaya_karyawan_high', 'laba_high'})",frozenset({'omset_high'}),0.2484517841344736,0.5,0.2370244765555883,0.9540059347181008,1.9080118694362016,0.1127985844883515,10.870967741935463,0.6332185156944392
"frozenset({'biaya_karyawan_high', 'omset_high', 'jumlah_pelanggan_high'})",frozenset({'laba_high'}),0.12407844293718667,0.5,0.11825420230020643,0.9530600118835413,1.9061200237670826,0.056214980831613096,10.651898734177212,0.5427130557580462
"frozenset({'tenaga_kerja_perempuan_high', 'jumlah_pelanggan_high', 'laba_high'})",frozenset({'omset_high'}),0.1235623709820112,0.5,0.11773813034503096,0.9528639618138425,1.905727923627685,0.05595694485402536,10.607594936708859,0.5422703319059711
